101,65,D,DCFD 01 Disp,01 Dispatch,Fire Dispatch,Fire,1
102,66,D,DCFD 02 Main,02 Main,Fire-Tac,Fire,1
142,08e,D,DCFD 0H1 UMC,0H1 United Medical Center ,Hospital,Fire,2
143,08f,D,DCFD 0H2 CNM,0H2 Children's National Medical Center,Hospital,Fire,2
145,91,D,DCFD 0H4 M*,0H4 Medstar,Hospital,Fire,2
146,92,D,DCFD 0H5 How,0H5 Howard University ,Hospital,Fire,2
148,94,D,DCFD 0H7 GU,0H7 Georgetown University Hospital,Hospital,Fire,2
149,95,D,DCFD 0H8 GW,0H8 George Washington University Hospital,Hospital,Fire,2
151,97,D,DCFD 0H10,0H10 Providence Hospital,Hospital,Fire,2
152,98,D,DCFD 0H11,0H11 Poison Control,Hospital,Fire,2
153,99,D,DCFD 0H12,0H12 Sibley Hospital,Hospital,Fire,2
154,09a,D,DCFD 0H13 WH,0H13 Washington Hospital Center,Hospital,Fire,2
155,09b,D,DCFD 0H14,0H14 Walter Reed,Hospital,Fire,2
156,09c,D,DCFD 0H15,0H15 Veterans Hospital,Hospital,Fire,2
157,09d,D,DCFD 0H16,0H16 Prince George's Hospital Center,Hospital,Fire,2
162,0a2,D,MPD DCFD,MPD-DCFD,Interop,Police,1
166,0a6,D,DC-01 UCC 1,DC-01 Unified Comm Center 1,Interop,DC Common,2
167,0a7,D,DC-02 UCC 2,DC-02 Unified Comm Center 2,Interop,DC Common,2
621,26d,D,DC-07 MAF1,DC-07 Mutual Aid Fire 1,Interop,DC Common,1
623,26f,D,DC-08 MAF2,DC-08 Mutual Aid Fire 2,Interop,DC Common,1
700,2bc,E,DCFD 700 Enc,Encrypted,Fire-Tac,Fire,1
705,2c1,D,DCFD 705,Testing in Metro (1/31/15),Fire-Tac,Fire,1
706,2c2,E,DCFD 706 Enc,Encrypted,Fire-Tac,Fire,1
707,2c3,E,DCFD 707 Enc,Encrypted,Fire-Tac,Fire,1
708,2c4,E,DCFD 708 Enc,Encrypted,Fire-Tac,Fire,1
709,2c5,E,DCFD 709 Enc,Encrypted,Fire-Tac,Fire,1
710,2c6,E,DCFD 710 Enc,Encrypted,Fire-Tac,Fire,1
712,2c8,E,DCFD 712 Enc,Encrypted,Fire-Tac,Fire,1
713,2c9,E,DCFD 713 Enc,Encrypted,Fire-Tac,Fire,1
715,2cb,E,DCFD 715 Enc,Encrypted,Fire-Tac,Fire,1
716,2cc,E,DCFD 716 Enc,Encrypted,Fire-Tac,Fire,1
718,2ce,E,DCFD 718 Enc,Encrypted,Fire-Tac,Fire,1
